YouTube Link,Song,Artist,Album,Year,Duration,Trim Start,Trim End,Era
https://www.youtube.com/watch?v=16xMaeYXc4o,Lūgums,Nora Bumbiere,,1974,188,5,10,vintage
https://www.youtube.com/watch?v=0nZyXTukjVk,Vēju stunda,Aija Kukule,,1978,177,5,10,vintage
https://www.youtube.com/watch?v=Sb_EXnjNo5s,Salds it kā medus,Zigmars Liepiņš / M. Zīvere,,1978,194,5,10,vintage
https://www.youtube.com/watch?v=wKz0dOgQm0Q,Jelgavai,Viktors Lapčenoks,,1979,482,5,10,vintage
https://www.youtube.com/watch?v=BA_Ud57rIOQ,Ances romance,M. Vilcāne,,1970,188,5,10,vintage
https://www.youtube.com/watch?v=-_uJ3NtNFQM,Kā sniegi kalnu galotnēs,N. Bumbiere un V. Lapčenoks,,1977,272,5,10,vintage
https://www.youtube.com/watch?v=dFXBstdcHEI,Priekšnojauta,Mirdza Zīvere,,1977,226,5,10,vintage
https://www.youtube.com/watch?v=_mrsg05aL1s,Sapņu pīpe,Edgars Liepiņš,,1979,180,5,10,vintage
https://www.youtube.com/watch?v=L_dsYTxvSdI,Tā diena,Margarita Vilcāne,,1970,217,5,10,vintage
https://www.youtube.com/watch?v=Kpw5uNnlEOM,Grieze,N. Bumbiere un V. Lapčenoks,,1973,112,5,10,vintage
https://www.youtube.com/watch?v=ok384a4HvcQ,Balta saule,Margarita Vilcāne,,1970,230,5,10,vintage
https://www.youtube.com/watch?v=LsgO5OTUsRU,Raganu nakts,Viktors Lapčenoks,,1974,186,5,10,vintage
https://www.youtube.com/watch?v=ZnUQabB6wdY,Lakstīgala,Nora Bumbiere,,1977,211,5,10,vintage
https://www.youtube.com/watch?v=0uv7LnhO8OU,Par nesatikšanos,Ingus Pētersons,,1979,223,5,10,vintage
https://www.youtube.com/watch?v=qcAVbTjbszY,Inese,Viktors Lapčenoks,,1976,225,5,10,vintage
https://www.youtube.com/watch?v=hO9trub1c7g,Kaktuss,Ojārs Grinbergs,,1972,262,5,10,vintage
https://www.youtube.com/watch?v=0nZyXTukjVk,Latgalē,Viktors Lapčenoks,,1976,177,5,10,vintage
https://www.youtube.com/watch?v=TAl84FZzx00,"Pilsēta, kurā piedzimst vējš",Liepājas brāļi / Imants Kalniņš,,1973,296,5,10,vintage
https://www.youtube.com/watch?v=bJeoIRDGwEA,Trubadūrs,N. Bumbiere un V. Lapčenoks,,1972,215,5,10,vintage
https://www.youtube.com/watch?v=-M0bwtHwy9g,Zemeņu lauks,N. Bumbiere un V. Lapčenoks,,1974,44,5,10,vintage
https://www.youtube.com/watch?v=8_Vafvt_Pb4,Pērļu zvejnieks,Andrejs Lihtenbergs,,1970,147,5,10,vintage
https://www.youtube.com/watch?v=j3RMroeCYVw,Devītais vilnis,Andrejs Lihtenbergs,,1972,141,5,10,vintage
https://www.youtube.com/watch?v=lnuyeLdymmw,Manai dzimtenei,N. Bumbiere un V. Lapčenoks,,1972,272,5,10,vintage
https://www.youtube.com/watch?v=JdORCLLIr0k,Dziesma par sevi,Viktors Lapčenoks,,1977,439,5,10,vintage
https://www.youtube.com/watch?v=qvC2f6tfAD8,Pusnakts stundā,V. Lapčenoks un N. Bumbiere,,1978,231,5,10,vintage
https://www.youtube.com/watch?v=NH6tfV490Zo,Melnā aronija,Ojārs Grinbergs,,1974,170,5,10,vintage
https://www.youtube.com/watch?v=dAfEQnwjlqc,Zem apgāztā mēness,Uldis Stabulnieks,,1975,4971,5,10,vintage
https://www.youtube.com/watch?v=vCQUv0Po8tg,Dziesma nenosalst,V. Lapčenoks,,1975,220,5,10,vintage
https://www.youtube.com/watch?v=xMQ87Mp9Uvc,Tu neskumsti,Andrejs Lihtenbergs,,1977,115,5,10,vintage
https://www.youtube.com/watch?v=Hrh2bfG-fio,Vardīte,Nora Bumbiere,,1972,193,5,10,vintage
https://www.youtube.com/watch?v=H9Crl-b-AiQ,Māsa kerija,Mirdza Zīvere,,1979,206,5,10,vintage
https://www.youtube.com/watch?v=nAZfVHUjbnQ,Kerijas dziesma,Mirdza Zīvere,,1979,208,5,10,vintage
https://www.youtube.com/watch?v=wwB2__BirlI,Vectētiņš un vecmāmiņa,Dzeguzīte,,1979,194,5,10,vintage
https://www.youtube.com/watch?v=OHQcW6pnKOQ,"Tāpēc jau, ka nevar zināt",Imants Skrastiņš,,1979,289,5,10,vintage
https://www.youtube.com/watch?v=whEHI8IvPyA,Spēļu nakts Duntes krogā,Aktieru ansamblis,,1974,613,5,10,vintage
https://www.youtube.com/watch?v=ok384a4HvcQ,Zelta dziesma,Margarita Vilcāne,,1976,230,5,10,vintage
https://www.youtube.com/watch?v=Br0uOMakbps,Kamēr vēl,Margarita Vilcāne,,1977,182,5,10,vintage
https://www.youtube.com/watch?v=K9nOoyw-euA,Atvadas vasarai,N. Bumbiere,,1975,165,5,10,vintage
https://www.youtube.com/watch?v=VmDHe_kkE_s,Sikspārņa Fledermuša šūpuļdziesma,Gunārs Placēns,,1978,118,5,10,vintage
https://www.youtube.com/watch?v=Vpf_cb9nplE,Tāls un bargs,Ojārs Grinbergs,,1973,245,5,10,vintage
https://www.youtube.com/watch?v=jToq68sA1U4,Lielais loms,N. Bumbiere un V. Lapčenoks,,1972,224,5,10,vintage
https://www.youtube.com/watch?v=ok384a4HvcQ,Vivere,Margarita Vilcāne,,1973,230,5,10,vintage
https://www.youtube.com/watch?v=Kpw5uNnlEOM,Ābelīte,N. Bumbiere un V. Lapčenoks,,1973,112,5,10,vintage
https://www.youtube.com/watch?v=-bIHuDhWDCY,Pasaulē ir tādas krāsas,Mirdza Zīvere,,1979,252,5,10,vintage
https://www.youtube.com/watch?v=8_Vafvt_Pb4,Dziesma par lāci,Andrejs Lihtenbergs,,1978,147,5,10,vintage
https://www.youtube.com/watch?v=CVGRkUnqky4,Mazā princese,Sandra Ozolīte,,1979,276,5,10,vintage
https://www.youtube.com/watch?v=kwbEw0HcLB0,Tava balss,Aija Kukule,,1979,135,5,10,vintage
https://www.youtube.com/watch?v=6OXmg6DhMAo,Liepas satumst,REO vīru vokālais ansamblis,,1971,185,5,10,vintage
https://www.youtube.com/watch?v=NH6tfV490Zo,Dzeltenais putns,Ojārs Grinbergs,,1971,170,5,10,vintage
https://www.youtube.com/watch?v=qBCggC1G8qw,Skumja dziesma par Mocartu,Menuets,,1978,152,5,10,vintage
https://www.youtube.com/watch?v=TSAqqh9ZF04,Silta sirds,Margarita Vilcāne,,1974,232,5,10,vintage
https://www.youtube.com/watch?v=eYN4GgWj1hQ,Dzimtā valoda,Līvi,,1986,255,5,10,vintage
https://www.youtube.com/watch?v=BZM5g8kxTCY,Ziemeļmeita,Jumprava,,1988,259,5,10,vintage
https://www.youtube.com/watch?v=LJE9kZ1ELgw,Pie Dieviņa gari galdi,Mārtiņš Brauns / Dzeguzīte,,1988,364,5,10,vintage
https://www.youtube.com/watch?v=Uu5wr6DeasY,Zibsnī zvaigznes aiz Daugavas,Mirdza Zīvere / Imants Vanzovičs,,1985,203,5,10,vintage
https://www.youtube.com/watch?v=loTxIZssCxk,Meitene ar kallu ziediem,Credo,,1981,213,5,10,vintage
https://www.youtube.com/watch?v=EkgYa_UAFAY,Lūgums,Mirdza Zīvere,,1984,292,5,10,vintage
https://www.youtube.com/watch?v=HZhviu25Dqs,Pie laika,Remix / Igo,,1988,269,5,10,vintage
https://www.youtube.com/watch?v=c5YK8UrXW7c,Balāde par gulbi,Pērkons,,1983,393,5,10,vintage
https://www.youtube.com/watch?v=xN_HJ08RFV0,"Pasaule, pasaulīt",Eolika,,1985,205,5,10,vintage
https://www.youtube.com/watch?v=lJdQ9NQ0dlo,Dzelzsgriezējs,Līvi,,1987,299,5,10,vintage
https://www.youtube.com/watch?v=vmRgiq-diaI,Brīvību Baltijai,Opus Pro,,1989,267,5,10,vintage
https://www.youtube.com/watch?v=oqj7raNt2l4,Gandrīz tautasdziesma,Pērkons,,1987,278,5,10,vintage
https://www.youtube.com/watch?v=LlfOSauog8g,Tikai tā,Liepājas brāļi,,1987,275,5,10,vintage
https://www.youtube.com/watch?v=dKv4exGHvqw,Mēs pārtiekam viens no otra,Pērkons,,1989,287,5,10,vintage
https://www.youtube.com/watch?v=x17fM63MGuo,Atgriešanās,Uldis Stabulnieks,,1981,169,5,10,vintage
https://www.youtube.com/watch?v=F2l9HtPixcc,Disnejlenda,Zodiaks,,1986,551,5,10,vintage
