dFXBstdcHEI	Mirdza Zīvere	Priekšnojauta		1977	226	vintage	5	10				X													
_mrsg05aL1s	Edgars Liepiņš	Sapņu pīpe		1979	180	vintage	5	10				X													
L_dsYTxvSdI	Margarita Vilcāne	Tā diena		1970	217	vintage	5	10				X													
Kpw5uNnlEOM	N. Bumbiere un V. Lapčenoks	Grieze		1973	112	vintage	5	10				X													
LsgO5OTUsRU	Viktors Lapčenoks	Raganu nakts		1974	186	vintage	5	10				X													
ZnUQabB6wdY	Nora Bumbiere	Lakstīgala		1977	211	vintage	5	10				X													
0uv7LnhO8OU	Ingus Pētersons	Par nesatikšanos		1979	223	vintage	5	10				X													
qcAVbTjbszY	Viktors Lapčenoks	Inese		1976	225	vintage	5	10				X													
hO9trub1c7g	Ojārs Grinbergs	Kaktuss		1972	262	vintage	5	10				X													
TAl84FZzx00	Liepājas brāļi / Imants Kalniņš	Pilsēta, kurā piedzimst vējš		1973	296	vintage	5	10				X													
-M0bwtHwy9g	N. Bumbiere un V. Lapčenoks	Zemeņu lauks		1974	44	vintage	5	10				X													
8_Vafvt_Pb4	Andrejs Lihtenbergs	Pērļu zvejnieks		1970	147	vintage	5	10				X													
lnuyeLdymmw	N. Bumbiere un V. Lapčenoks	Manai dzimtenei		1972	272	vintage	5	10				X													
JdORCLLIr0k	Viktors Lapčenoks	Dziesma par sevi		1977	439	vintage	5	10				X													
qvC2f6tfAD8	V. Lapčenoks un N. Bumbiere	Pusnakts stundā		1978	231	vintage	5	10				X													
NH6tfV490Zo	Ojārs Grinbergs	Melnā aronija		1974	170	vintage	5	10				X													
dAfEQnwjlqc	Uldis Stabulnieks	Zem apgāztā mēness		1975	4971	vintage	5	10				X													
vCQUv0Po8tg	V. Lapčenoks	Dziesma nenosalst		1975	220	vintage	5	10				X													
xMQ87Mp9Uvc	Andrejs Lihtenbergs	Tu neskumsti		1977	115	vintage	5	10				X													
Hrh2bfG-fio	Nora Bumbiere	Vardīte		1972	193	vintage	5	10				X													
H9Crl-b-AiQ	Mirdza Zīvere	Māsa kerija		1979	206	vintage	5	10				X													
nAZfVHUjbnQ	Mirdza Zīvere	Kerijas dziesma		1979	208	vintage	5	10				X													
wwB2__BirlI	Dzeguzīte	Vectētiņš un vecmāmiņa		1979	194	vintage	5	10				X													
OHQcW6pnKOQ	Imants Skrastiņš	Tāpēc jau, ka nevar zināt		1979	289	vintage	5	10				X													
whEHI8IvPyA	Aktieru ansamblis	Spēļu nakts Duntes krogā		1974	613	vintage	5	10				X													
Br0uOMakbps	Margarita Vilcāne	Kamēr vēl		1977	182	vintage	5	10				X													
K9nOoyw-euA	N. Bumbiere	Atvadas vasarai		1975	165	vintage	5	10				X													
VmDHe_kkE_s	Gunārs Placēns	Sikspārņa Fledermuša šūpuļdziesma		1978	118	vintage	5	10				X													
Vpf_cb9nplE	Ojārs Grinbergs	Tāls un bargs		1973	245	vintage	5	10				X													
jToq68sA1U4	N. Bumbiere un V. Lapčenoks	Lielais loms		1972	224	vintage	5	10				X													
-bIHuDhWDCY	Mirdza Zīvere	Pasaulē ir tādas krāsas		1979	252	vintage	5	10				X													
CVGRkUnqky4	Sandra Ozolīte	Mazā princese		1979	276	vintage	5	10				X													
kwbEw0HcLB0	Aija Kukule	Tava balss		1979	135	vintage	5	10				X													
6OXmg6DhMAo	REO vīru vokālais ansamblis	Liepas satumst		1971	185	vintage	5	10				X													
qBCggC1G8qw	Menuets	Skumja dziesma par Mocartu		1978	152	vintage	5	10				X													
TSAqqh9ZF04	Margarita Vilcāne	Silta sirds		1974	232	vintage	5	10				X													
eYN4GgWj1hQ	Līvi	Dzimtā valoda		1986	255	vintage	5	10				X													
BZM5g8kxTCY	Jumprava	Ziemeļmeita		1988	259	vintage	5	10				X													
LJE9kZ1ELgw	Mārtiņš Brauns / Dzeguzīte	Pie Dieviņa gari galdi		1988	364	vintage	5	10				X													
Uu5wr6DeasY	Mirdza Zīvere / Imants Vanzovičs	Zibsnī zvaigznes aiz Daugavas		1985	203	vintage	5	10				X													
loTxIZssCxk	Credo	Meitene ar kallu ziediem		1981	213	vintage	5	10				X													
EkgYa_UAFAY	Mirdza Zīvere	Lūgums		1984	292	vintage	5	10				X													
HZhviu25Dqs	Remix / Igo	Pie laika		1988	269	vintage	5	10				X													
c5YK8UrXW7c	Pērkons	Balāde par gulbi		1983	393	vintage	5	10				X													
xN_HJ08RFV0	Eolika	Pasaule, pasaulīt		1985	205	vintage	5	10				X													
lJdQ9NQ0dlo	Līvi	Dzelzsgriezējs		1987	299	vintage	5	10				X													
vmRgiq-diaI	Opus Pro	Brīvību Baltijai		1989	267	vintage	5	10				X													
oqj7raNt2l4	Pērkons	Gandrīz tautasdziesma		1987	278	vintage	5	10				X													
LlfOSauog8g	Liepājas brāļi	Tikai tā		1987	275	vintage	5	10				X													
dKv4exGHvqw	Pērkons	Mēs pārtiekam viens no otra		1989	287	vintage	5	10				X													
x17fM63MGuo	Uldis Stabulnieks	Atgriešanās		1981	169	vintage	5	10				X													
F2l9HtPixcc	Zodiaks	Disnejlenda		1986	551	vintage	5	10				X													
8vqyghGOI4w	Olga Rajecka / Turaidas Roze	Svētku diena		1989	180	vintage	5	10				X													
-BEVOQFyTOg	Eolika	Noktirne (Šaurā bezdibenī)		1982	279	vintage	5	10				X													
XTg6nU1OeaQ	Ingus Pētersons	Druvas		1980	221	vintage	5	10				X													
ZH_6uKp-j-o	Čikāgas Piecīši	Mežrozīte		1989	212	vintage	5	10				X													
QRA_ioFusT4	Mārtiņš Brauns / Sīpoli	Daugaviņa		1988	202	vintage	5	10				X													
oEGL1oPWaAw	Remix	Uz krustcelēm		1987	144	vintage	5	10				X													
7psEVhxjteM	Čikāgas Piecīši / Līvi	Senā dziesma (Vējš miltus...)		1989	290	vintage	5	10				X													
At0ADKo4AYA	Zodiaks	Taisnība		1989	295	vintage	5	10				X													
jDZTkNkETLs	Igo / Mailītis / Z. Liepiņš	Atgriešanās (no rokoperas Lāčplēsis)		1988	373	vintage	5	10				X													
KnIt45VIVFM	Līvi	Zīlīte		1982	194	vintage	5	10				X													
Dui9FWlOoLo	Eolika	Zemeņu lauks		1985	201	vintage	5	10				X													
qe5Zx9HeuZ4	Remix	Komunālais blūzs		1987	243	vintage	5	10				X													
vRMdYJBi0Ck	Olga Rajecka / Bāze 7	Kad man vairs nebūs 16		1987	224	vintage	5	10				X													
tWRrampneow	Ieva Akuratere	Tumsša nakte, zaļa zāle		1988	189	vintage	5	10				X													
dgxE29yN5eI	Līvi	Veltījums		1985	774	vintage	5	10				X													
vhiU9J3yeEc	Līvi	Elektriskā zivs		1984	261	vintage	5	10				X													
k3ltBkxV_GY	Mirdza Zīvere / Opus	Tāls Parīzes radio		1984	297	vintage	5	10				X													
Zcl8tNkzW2Q	Odis	Rīts (Šeit ir Latvija)		1989	308	vintage	5	10				X													
